PJId,sum,
326696968,477594.0,0
326696969,381441.0,0
326696964,89870.0,0
326696965,80108.0,0
326696966,295145.0,0
326696967,-129895.0,0
326696960,74054.0,0
326696961,518042.0,0
326696962,165024.0,0
326696963,-106821.0,0
326762496,-815384.0,0
326762497,-102271.0,0
326762498,-451756.0,0
326696991,71451.0,0
326696990,75842.0,0
326696993,203209.0,0
326696992,-191864.0,0
326696995,-169465.0,0
326696994,-207606.0,0
326696997,143495.0,0
326696996,47063.0,0
326696999,58007.0,0
326696998,24577.0,0
326697029,-28699.0,0
326697026,8280.0,0
326697027,-1200.0,0
326697024,40979.0,0
326697025,-28800.0,0
326697022,47716.0,0
326697023,-20543.0,0
326697020,-54894.0,0
326697021,-16315.0,0
326696982,213902.0,0
326696983,-153471.0,0
326696980,114361.0,0
326696981,180448.0,0
326696986,7427.0,0
326696987,6171.0,0
326696984,146109.0,0
326696985,-4465.0,0
326696988,169065.0,0
326696989,-1401.0,0
326697013,-11150.0,0
326697012,-17206.0,0
326697011,61790.0,0
326697010,-12784.0,0
326697017,16953.0,0
326697016,-37938.0,0
326697015,-5277.0,0
326697014,-33188.0,0
326697019,55002.0,0
326697028,-2393.0,0
326762506,113839.0,0
326697004,-9908.0,0
326697005,1164.0,0
326697006,-9129.0,0
326697007,69837.0,0
326697000,141519.0,0
326697001,26024.0,0
326697002,2278.0,0
326697003,-35031.0,0
326697008,109743.0,0
326697009,-20197.0,0
326762499,-415643.0,0
326762511,2950.0,0
326762510,68635.0,0
326762502,-37515.0,0
326762503,-44849.0,0
326762500,-216806.0,0
326762501,7364.0,0
326762507,-8728.0,0
326762504,20824.0,0
326762505,16227.0,0
326762508,-305297.0,0
326762509,26563.0,0
326697018,-29525.0,0
326696979,-92913.0,0
326696978,82538.0,0
326696973,162819.0,0
326696972,-115409.0,0
326696971,358810.0,0
326696970,107474.0,0
326696977,116998.0,0
326696976,146901.0,0
326696975,243342.0,0
326696974,186.0,0
